Station Name,LONDON LAMBETH A,,,,,,,,,
Province,ONTARIO,,,,,,,,,
Latitude,42.98,,,,,,,,,
Longitude,-81.22,,,,,,,,,
Elevation,246.3,,,,,,,,,
Climate Identifier,6144481,,,,,,,,,
WMO Identifier,,,,,,,,,,
TC Identifier,,,,,,,,,,
,,,,,,,,,,
Legend,,,,,,,,,,
B,More than one occurrence and estimated,,,,,,,,,
E,Estimated,,,,,,,,,
M,Missing,,,,,,,,,
S,More than one occurrence,,,,,,,,,
T,Trace,,,,,,,,,
[empty],No data available,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,
,,,,,,,,,,
Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1930-01,1930,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-02,1930,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-03,1930,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-04,1930,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-05,1930,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-06,1930,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-07,1930,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-08,1930,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930-09,1930,9,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
1930-10,1930,10,14.1,2.6,8.4,25.6,-6.7,54.1,0,54.1
1930-11,1930,11,7.9,-1.9,3,20.6,-18.3,42.7,47.2,89.9
1930-12,1930,12,-0.1,-6.9,-3.5,8.9,-18.3,20.3,79,99.3
1931-01,1931,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-02,1931,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-03,1931,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-04,1931,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-05,1931,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-06,1931,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-07,1931,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-08,1931,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-09,1931,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-10,1931,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-11,1931,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931-12,1931,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-01,1932,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-02,1932,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-03,1932,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-04,1932,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932-05,1932,5,17.7,6.3,12,28.3,-4.4,127.5,0,127.5
1932-06,1932,6,23.3,11.8,17.6,28.9,2.2,22.9,0,22.9
1932-07,1932,7,24.5,13.6,19.1,32.2,5,259.6,0,259.6
1932-08,1932,8,25.9,13.1,19.5,33.9,6.7,74.7,0,74.7
1932-09,1932,9,21.7,9.2,15.5,27.2,-1.7,82.3,0,82.3
1932-10,1932,10,14.1,4.9,9.5,22.2,-4.4,81.5,0,81.5
1932-11,1932,11,4.7,-3.4,0.7,14.4,-13.9,68.1,17.8,85.9
1932-12,1932,12,1.2,-6.9,-2.9,11.7,-18.9,91.7,11.9,103.6
1933-01,1933,1,3.7,-3.7,0,13.3,-13.9,30,4.6,34.5
1933-02,1933,2,-0.5,-8.7,-4.6,8.9,-24.4,38.6,12.2,50.8
1933-03,1933,3,1.6,-4.2,-1.3,10,-17.2,65,24.6,89.7
1933-04,1933,4,11.7,2,6.9,21.1,-4.4,89.4,1,90.4
1933-05,1933,5,18.8,8.1,13.5,28.9,0,49.3,0,49.3
1933-06,1933,6,26.5,12.4,19.5,34.4,1.1,113.5,0,113.5
1933-07,1933,7,27.7,14.2,21,35.6,8.3,64.5,0,64.5
1933-08,1933,8,26.2,12.8,19.5,32.2,7.2,47.8,0,47.8
1933-09,1933,9,23.8,11.3,17.6,35.6,1.7,63,0,63
1933-10,1933,10,13.9,3.2,8.6,22.8,-6.1,61.5,0,61.5
1933-11,1933,11,3.9,-3.8,0.1,23.3,-15.6,63,57.9,120.9
1933-12,1933,12,-0.5,-8,-4.3,11.7,-23.3,50.8,39.1,89.9
1934-01,1934,1,0,-7.3,-3.7,6.1,-18.9,27.4,28.2,55.6
1934-02,1934,2,-7.9,-18.9,-13.4,1.1,-32.8,0,29.2,29.2
1934-03,1934,3,0.5,-8.1,-3.8,13.9,-18.9,54.9,16,70.9
1934-04,1934,4,9.5,-0.1,4.7,21.1,-7.8,73.2,13.7,86.9
1934-05,1934,5,21.1,6,13.6,30,-2.8,24.9,0,24.9
1934-06,1934,6,27.8,12.7,20.3,34.4,5.6,23.9,0,23.9
1934-07,1934,7,28.6,14.2,21.4,35,6.7,72.4,0,72.4
1934-08,1934,8,24.3,11.2,17.8,31.7,1.1,74.9,0,74.9
1934-09,1934,9,21.6,12.6,17.1,27.8,3.9,113.8,0,113.8
1934-10,1934,10,14.1,3,8.6,22.8,-6.7,35.1,24.4,59.4
1934-11,1934,11,8.6,1.3,5,17.2,-6.7,91.4,27.4,118.9
1934-12,1934,12,-1.1,-9.1,-5.1,6.1,-22.2,26.7,56.9,83.6
1935-01,1935,1,-2.6,-10.3,-6.5,5,-28.3,52.8,53.8,106.7
1935-02,1935,2,-2.2,-10.7,-6.5,5,-22.2,28.4,59.9,88.4
